roi_index,sub,exp,alpha_M,R_M,D_M,rho_center,D_participation_ratio,D_explained_variance,D_feature
2,18,False,1.0134447809849243,0.8895378680285274,0.8195321846768631,0.12571712293122944,23.13198471069336,29,2279
3,18,False,1.0026995981835547,0.9689577128024907,0.8295271394119906,0.18349157634534333,14.053067207336426,27,964
4,18,False,0.9658426215001547,0.9548561709032726,0.8092469936743838,0.13068554526881168,21.905229568481445,29,1218
5,18,False,1.0036516552724832,0.93144390331124,0.8346410488076381,0.1338707773309005,21.11363410949707,28,1203
6,18,False,0.9776532249532732,0.9358766375131834,0.8109545473692042,0.08704058998509458,28.937257766723633,31,3572
7,18,False,0.9770855412394119,0.945907704004297,0.7984762876510519,0.08576311814157586,29.966596603393555,31,2767
8,18,False,0.9652020593679408,0.9318787922626243,0.7825551622683207,0.09920184486790708,27.550668716430664,30,2133
9,18,False,0.9579496466776333,0.973283594717891,0.8141105742288538,0.09761266206440172,26.3394775390625,29,892
10,18,False,1.0052394860401856,0.9520276581330528,0.8341627875942974,0.09591638665450247,26.48761558532715,30,1016
11,18,False,1.0162218767513032,0.9597999706349956,0.8102277985298763,0.08608149478310033,28.721519470214844,31,2348
12,18,False,1.001103042514436,0.9594616598405473,0.8124797774434167,0.08069307427657278,28.11501121520996,30,2390
13,18,False,1.0021493581235588,0.93810300845848,0.7806680086644049,0.07901188699822677,31.274520874023438,31,2100
14,18,False,0.9461768697827129,0.9435089974879777,0.8110033467169675,0.09763140427438836,27.11197853088379,31,3484
15,18,False,0.9751117542671789,0.9756427100213136,0.810189711017105,0.15857933445980674,17.601470947265625,27,1142
16,18,False,0.9843943197922156,0.9616072057925293,0.8187641143191264,0.14109990973221628,18.111515045166016,28,2435
17,18,False,1.0055804518276914,0.9689187037506439,0.8009614692857971,0.14641583091334293,17.734233856201172,29,4131
18,18,False,1.0366424426664562,0.9285790161052182,0.8189153642323383,0.09465073033383017,27.614622116088867,31,2882
19,18,False,0.9778472021020347,0.9618507112391803,0.823311452069125,0.08579226042094984,27.404983520507812,30,3759
20,18,False,0.9853064372794165,0.971927627577619,0.8085341867551257,0.13419946369371916,19.143579483032227,28,1911
21,18,False,0.9586109196302129,0.9701684934352516,0.7930723638592676,0.10286334188360917,25.54388999938965,30,2481
22,18,False,0.9993430295054457,0.9377381198162501,0.7948953281867748,0.09152012875205592,28.106096267700195,30,5641
1,19,False,0.9976675763041617,0.8582097147971259,0.8274937797184492,0.10402558979235198,26.343706130981445,30,1627
2,19,False,1.0051081847953454,0.8521263574445653,0.8202825260602973,0.11476541820325349,26.357662200927734,30,2413
3,19,False,0.9999951383132176,0.9110104226313762,0.8144168207061172,0.12635056345086348,22.532869338989258,29,961
4,19,False,1.0178448230666897,0.9037412992755562,0.8016993838015892,0.08603537710089433,31.011491775512695,31,1354
5,19,False,0.9512858959586027,0.9530107799169782,0.8203234720164353,0.09652571427194696,25.703908920288086,30,1208
6,19,False,0.9861817234318216,0.948746435763222,0.8232196881465699,0.12261882581208881,21.508678436279297,31,3622
7,19,False,0.9915984415661069,0.9644993274772583,0.8206264185004765,0.07791324414704975,30.971271514892578,31,2784
8,19,False,1.0124545541176475,0.9510743627697993,0.8077410237907527,0.09528854771664268,27.80095672607422,31,2174
9,19,False,0.9908191145314544,1.017483631487192,0.8030624113278266,0.11396345841257195,21.32718276977539,29,882
10,19,False,0.9741018992558854,0.9895640393020685,0.8112291943070872,0.10084293767025596,24.774944305419922,29,1012
11,19,False,1.0074803072287573,0.9473492409243031,0.8196337403140637,0.08977540668688322,28.16075325012207,31,2334
12,19,False,0.9331699500683598,0.957662761335538,0.8100675999255849,0.1255253239681846,18.716529846191406,30,2421
13,19,False,1.007231508491257,0.934520334718032,0.8006785320029877,0.10383722405684621,23.447908401489258,31,2351
14,19,False,0.998581723210376,0.946983671391006,0.8165716464537367,0.08161497618022719,30.491252899169922,31,3567
15,19,False,0.9861160218593782,0.9681624857468398,0.8204149498279157,0.10484460529528167,21.93756675720215,30,1197
16,19,False,1.0083869879629896,0.9494943804203213,0.8005141298157099,0.1428072076094778,20.452444076538086,30,2491
17,19,False,0.9454573521643267,0.9833730549796934,0.8086545644800905,0.14855834559390418,18.068172454833984,30,4127
18,19,False,0.9808387006569622,0.988901715194556,0.8102274757766954,0.09556840595446135,27.467405319213867,31,2891
19,19,False,0.9554420347617084,0.9360065040422377,0.814296162253782,0.07896623109516344,31.168926239013672,31,3839
20,19,False,0.9872489943344719,0.9568361445308952,0.7890208583237934,0.07653297625089947,31.399023056030273,31,2058
21,19,False,0.9918162335895281,0.9258347047340741,0.812310176710404,0.09595124094109786,26.138093948364258,30,2474
22,19,False,1.0240555254956327,0.9615290490036728,0.801210907590572,0.097062853762978,26.2291316986084,31,5646
1,21,False,1.0143296752182394,0.8741792664350486,0.8186190975354835,0.12746369211297287,22.469844818115234,28,1497
