filename,stim_id,check,check-n,strategy,fen,total_pieces,legal_moves,visual,short_opening,correct,stockfish_top_5,stockfish_eval,lc0_top_5
C4_Images_IvanchukSavchenko(Reversed).png,15,1,3,3,1k6/pp6/q4p2/3p1B1p/5P1P/1PP1B1R1/r5bK/8 w - - 0 1,17,30,15,0,g3g8,"['Rg8', 'Rg2', 'Ba7', 'Bf2', 'Bc2']","[3, None, None, None, None]","['Rg8', 'Rg2', 'Bb1', 'c4', 'Ba7']"
C4_Images_StrekalovskyShaposhlikov.png,16,1,4,3,5k2/p4p1r/1n3b2/2p1Qp1p/1q2P3/1B4R1/Pr3PP1/2R2K2 w - - 0 1,20,45,16,0,e5d6,"['Qd6', 'Rg8', 'Qb8', 'Qf5', 'Qf6']","[4, 4, None, None, None]","['Qd6', 'Qb8', 'Qf6', 'Rg8', 'Qf5']"
C5_Images_EasyPosition2.png,17,1,1,4,r1b2rk1/1pp2ppp/p1np1q2/8/1b2Q3/2PB1N2/PP1B1PPP/RN2K2R w - - 0 1,28,48,17,0,e4h7,"['Qh7', 'b4', 'Bg5', 'Kd1', 'Kf1']","[1, None, None, None, None]","['Qh7', 'b4', 'Kf1', 'Kd1', 'Bg5']"
C5_Images_EasyPosition5(Reversed).png,18,1,1,4,2kr1r2/3bb3/1pp5/4B1p1/2BP3p/8/5P1P/3RRK2 w - - 0 1,17,33,18,0,c4a6,"['Ba6', 'Ra1', 'Re3', 'Bg7', 'Kg1']","[1, None, None, None, None]","['Ba6', 'Ra1', 'd5', 'Bg7', 'Kg1']"
C5_Images_EasyPosition6.png,19,1,1,4,1r4rk/6p1/1p5p/4N3/b7/3B4/PP6/K1R5 w - - 0 1,13,35,19,0,e5f7,"['Nf7', 'Ng6', 'Rf1', 'Bc4', 'b4']","[1, None, None, None, None]","['Nf7', 'Ng6', 'Rc6', 'Rc7', 'Rc8']"
NC1_Images_Frombeautiful(Nomate).png,20,0,5,5,2r2r1k/1b5p/p2Q1qp1/3p1P2/3Pp3/8/6RP/6RK w - - 0 1,17,37,0,0,,"['g6', 'Qf6', 'Qb4', 'Qd7', 'Qf4']","[None, None, None, None, None]","['Qb4', 'Qf6', 'Qe6', 'Qf4', 'Qd7']"
NC1_Images_SteinitzNN(Nomate).png,21,0,5,5,3q2kr/1p3pp1/p1p2R1p/5p2/7P/P3Q3/1P4P1/7K w - - 0 1,17,39,1,0,,"['Rf5', 'Re6', 'g4', 'h5', 'b4']","[None, None, None, None, None]","['Rf5', 'Rf7', 'Re6', 'Qd2', 'Qd3']"
NC1_Images_WinterFriede(Nomate)(Reversed).png,22,0,5,5,1k6/ppp3pp/3ppb2/1P1P1Q2/3qr3/2R5/P1R4P/1K6 w - - 0 1,19,40,2,0,,"['Qf1', 'Qf6', 'Qf2', 'Qf3', 'Qh3']","[None, None, None, None, None]","['Qf3', 'Qf1', 'Qf2', 'Qh7', 'Qh3']"
NC2_Images_KekhayovPetrov(Nomate)(Reversed).png,23,0,5,6,1k6/1b1q2p1/2R4p/2QB4/1P2Pp2/P4P2/2r3rP/KR6 w - - 0 1,18,42,3,0,,"['Qf8', 'Qc2', 'Rb6', 'Rd6', 'Qd6']","[None, None, None, None, None]","['Qf8', 'Qc2', 'Rb6', 'Rd6', 'Qd6']"
NC2_Images_KrauseMeinhardt(Nomate).png,24,0,5,6,4rk2/1Qp2p1r/1p2bB2/p5Rp/P5pP/6P1/1Pq5/3R2K1 w - - 0 1,20,47,4,0,,"['Re1', 'Rf1', 'Rd4', 'Ra1', 'Rd5']","[None, None, None, None, None]","['Re1', 'Rf1', 'Ra1', 'Rd8', 'Rd4']"
NC2_Images_Replacement4(Nomate).png,25,0,5,6,6k1/1p1R1p2/p5pp/P3n3/5N1P/2P2Q2/5PPK/4rq2 w - - 0 1,18,36,5,0,,"['Rd8', 'Qe2', 'Qd1', 'Qh3', 'Kg3']","[None, None, None, None, None]","['Rd8', 'Qh3', 'Qb7', 'Qd5', 'Rd3']"
NC2_Images_SkujaRozenbergs(Nomate)(Reversed).png,26,0,5,6,k1n2b2/p1r3r1/QpP1pp2/3P4/3P3p/2P2PBq/3N1P1P/R3R1K1 w - - 0 1,24,39,6,0,,"['Re6', 'Qa2', 'e6', 'Nf1', 'Ra2']","[None, None, None, None, None]","['Re6', 'Qf1', 'Nc4', 'e6', 'Nf1']"
NC3_Images_KazicVukovic(Nomate)(Reversed).png,27,0,5,7,rk2q2r/p1p2p1p/Bp4p1/3N1b2/3Npp2/5P2/PPP3PP/1K1Rb2R w - - 0 1,26,41,7,0,,"['Re1', 'Ne7', 'Nf6', 'Bb5', 'g4']","[None, None, None, None, None]","['Re1', 'Ne7', 'Nf6', 'Bb5', 'Nf5']"
NC3_Images_MalininAndreev(Nomate)(Reversed).png,28,0,5,7,1k1r4/p7/R1p1p2b/1NN1qp2/8/1P3B2/2PP1K2/8 w - - 0 1,16,37,8,0,,"['Nd3', 'Kf1', 'c3', 'Ra4', 'Nd6']","[None, None, None, None, None]","['Na7', 'Nd3', 'Rb6', 'd4', 'Ra7']"
NC3_Images_PodzerovKuntzevic(Nomate)(Reversed).png,29,0,5,7,k2r3r/pbQ1n2p/3p3b/2pNN2q/5Bp1/8/PPP4P/1KR1R3 w - - 0 1,23,47,9,0,,"['Nf6', 'Nb6', 'Ne7', 'Qe7', 'Nc3']","[None, None, None, None, None]","['Nf6', 'Nb6', 'Ne7', 'Qe7', 'Nf7']"
NC3_Images_Replacement3(Nomate).png,30,0,5,7,1rr4k/3qNpb1/2p2n1p/3p1Q2/1P1P3N/2P3P1/5P1P/6K1 w - - 0 1,20,34,10,0,,"['Nc8', 'Qd7', 'Qf6', 'Qe5', 'Ng6']","[None, None, None, None, None]","['Qd7', 'Nc8', 'Ng6', 'Ng6', 'Qe5']"
NC3_Images_Replacement5(Nomate).png,31,0,5,7,2r1rq2/4b2k/1p2BBb1/p3pQ1p/4N3/1P2P3/5PPP/6K1 w - - 0 1,20,35,11,0,,"['Bc8', 'g4', 'Ng5', 'Qg6', 'h4']","[None, None, None, None, None]","['g4', 'Bc8', 'h4', 'h3', 'Ng5']"
NC3_Images_StudybyErcoledelRio(Nomate)(Reversed).png,32,0,5,7,1k2q3/ppr5/1bp5/4N3/5Q1R/8/PP6/K7 w - - 0 1,13,41,12,0,,"['Qh2', 'a3', 'Qg3', 'Nd7', 'Rh1']","[None, None, None, None, None]","['a3', 'Qh2', 'Nd7', 'Rh1', 'a4']"
NC3_Images_TylorWinter(Nomate).png,33,0,5,7,2r3k1/pb1q1p2/1p2pbpp/8/3N4/P2QB3/1P3PPP/1Br1R1K1 w - - 0 1,23,42,13,0,,"['Bc1', 'Rc1', 'Rd1', 'Rf1', 'Kf1']","[None, None, None, None, None]","['Rc1', 'Bc1', 'Nf3', 'Rd1', 'Nc2']"
NC4_Images_BrankaWittwer(Nomate)(Reversed).png,34,0,5,8,kr4r1/p1pqn1b1/2p1p2p/2Pp2p1/Q2P4/1PRB2B1/P4PPP/1K5R w - - 0 1,26,41,14,0,,"['Re1', 'Ba6', 'Rd1', 'f3', 'Ka1']","[None, None, None, None, None]","['Re1', 'b4', 'Ba6', 'f3', 'Rc2']"
NC4_Images_IvanchukSavchenko(Nomate)(Reversed).png,35,0,5,8,1k6/pp4p1/q4p2/3p1B1p/5P1P/1PP1B1R1/r5bK/8 w - - 0 1,18,29,15,0,,"['Rg2', 'Ba7', 'Bf2', 'Bd2', 'Bc2']","[None, None, None, None, -10]","['Rg2', 'Bb1', 'Ba7', 'c4', 'Rg7']"
NC4_Images_StrekalovskyShaposhlikov(Nomate).png,36,0,5,8,5k2/p4p1r/1n3b2/2p1Qp1p/1q2P1p1/1B4R1/Pr3PP1/2R2K2 w - - 0 1,21,41,16,0,,"['Qd6', 'Qc5', 'Qf5', 'Qb8', 'Qf6']","[None, None, None, None, None]","['Qf6', 'Qf5', 'Qd6', 'Qb8', 'Qf4']"
NC5_Images_EasyPosition2(Nomate).png,37,0,5,9,r1b2rk1/1pp2p1p/p1np1qp1/8/1b2Q3/2PB1N2/PP1B1PPP/RN2K2R w - - 0 1,28,47,17,0,,"['Qf4', 'Bg5', 'Kd1', 'Be3', 'Be2']","[None, None, None, None, None]","['Bg5', 'b4', 'Qf4', 'Kd1', 'Qh4']"
NC5_Images_EasyPosition5(Nomate)(Reversed).png,38,0,5,9,2kr1r2/3bb3/2p5/1p2B1p1/2BP3p/8/5P1P/3RRK2 w - - 0 1,17,32,18,0,,"['Bb3', 'Bd3', 'Ba2', 'Bg7', 'Ra1']","[None, None, None, None, None]","['Bd3', 'Bb3', 'Ra1', 'Rb1', 'Bg7']"
NC5_Images_EasyPosition6(Nomate).png,39,0,5,9,1r4rk/8/1p4pp/4N3/b7/3B4/PP6/K1R5 w - - 0 1,13,34,19,0,,"['Ng6', 'Bg6', 'Rf1', 'Rh1', 'Rc7']","[None, None, None, None, None]","['Ng6', 'Rc7', 'Rh1', 'Nf7', 'Bc4']"
