key_Instrc.keys,key_Instrc.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,key_Instrc2.keys,key_Instrc2.rt,key_resp_L.keys,key_resp_L.rt,consent_resp.keys,consent_resp.rt,key_resp_2.keys,key_resp_2.rt,checksequence.text,Mousetocontinue.x,Mousetocontinue.y,Mousetocontinue.leftButton,Mousetocontinue.midButton,Mousetocontinue.rightButton,Mousetocontinue.time,Mousetocontinue.clicked_name,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Experiment_try,Checkmate
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,Bg8,0.046296353,-0.414814843,1.0,0.0,0.0,43.9477,endtext,space,0.9788,0.0,26.0,26.0,13.0,1.0,C3_Images_Replacement5.png,Yes
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,,0.059259288,-0.400925954,1.0,0.0,0.0,42.5602,endtext,space,0.4771,0.0,27.0,27.0,32.0,1.0,NC3_Images_Replacement3(Nomate).png,no
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,Rd8,0.059259288,-0.400925954,1.0,0.0,0.0,41.9388,endtext,space,0.4375,0.0,28.0,28.0,26.0,1.0,NC2_Images_Replacement4(Nomate).png,no
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,Pa3,0.059259288,-0.400925954,1.0,0.0,0.0,44.7787,endtext,space,0.474,0.0,29.0,29.0,30.0,1.0,NC3_Images_StudybyErcoleDelRio(Nomate)(Reversed).png,no
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,Ba6,0.041666667,-0.40648151,1.0,0.0,0.0,22.0035,endtext,space,1.0407,0.0,30.0,30.0,18.0,1.0,C5_Images_EasyPosition5(Reversed).png,Yes
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,Nb6,0.041666667,-0.40648151,1.0,0.0,0.0,68.8077,endtext,space,0.4714,0.0,31.0,31.0,29.0,1.0,NC3_Images_PodzerovKuntzevic(Nomate)(Reversed).png,no
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,Qe7,0.041666667,-0.40648151,1.0,0.0,0.0,11.8237,endtext,space,0.5671,0.0,32.0,32.0,4.0,1.0,C2_Images_KrauseMeinhardt.png,Yes
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,Rb7,0.041666667,-0.40648151,1.0,0.0,0.0,30.9578,endtext,space,0.684,0.0,33.0,33.0,3.0,1.0,C2_Images_KekhayovPetrov(Reversed).png,Yes
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,,0.041666667,-0.40648151,1.0,0.0,0.0,29.5505,endtext,space,0.7825,0.0,34.0,34.0,28.0,1.0,NC3_Images_MalininAndreev(Nomate)(Reversed).png,no
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,Re1,0.041666667,-0.40648151,1.0,0.0,0.0,46.1399,endtext,space,0.7579,0.0,35.0,35.0,27.0,1.0,NC3_Images_KazicVukovic(Nomate)(Reversed).png,no
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,Nb6,0.044444444,-0.40648151,1.0,0.0,0.0,25.4215,endtext,space,0.4601,0.0,36.0,36.0,9.0,1.0,C3_Images_PodzerovKuntzevic(Reversed).png,Yes
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,,0.044444444,-0.40648151,1.0,0.0,0.0,32.9023,endtext,space,0.5209,0.0,37.0,37.0,25.0,1.0,NC2_Images_SkujaRozenbergs(Nomate)(Reversed).png,no
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,,-0.008333333,-0.390740797,1.0,0.0,0.0,23.6773,endtext,space,0.4274,0.0,38.0,38.0,33.0,1.0,NC3_Images_Replacement5(Nomate).png,no
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,Qa7,-0.008333333,-0.390740797,1.0,0.0,0.0,8.5218,endtext,space,0.4823,0.0,39.0,39.0,14.0,1.0,C4_Images_BrankaWittwer(Reversed).png,Yes
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,,,,,,,,,,,,,,,,,
